State,1988,1991,1992,1994,1996,1997,1998
Federal (FLSA),$3.35 ,$3.80 ,$4.25 ,$4.25 ,$4.25 ,$4.75 ,$5.15 
Alabama,...,...,...,...,...,...,...
Alaska,3.85,4.3,4.75,4.75,4.75,5.25,5.65
Arizona,...,...,...,...,...,...,...
Arkansas,3.25,3.35,3.65,4.25,4.25[c],4.25[c],5.15[c]
California,3.35,4.25,4.25,4.25,4.25,4.75,5.15
Colorado,3,3,3,3,3,4.75,5.15
Connecticut,3.75,4.25,4.27,4.27,4.27,4.77,5.18
Delaware,3.35,3.8,4.25,4.25,4.65,5,5.15
Florida,...,...,...,...,...,...,...
Georgia,3.25,3.25,3.25,3.25,3.25(d),3.25(d),3.25(d)
Hawaii,3.85,3.85,3.85,5.25,5.25,5.25,5.25
Idaho,2.3,3.8,4.25,4.25,4.25,4.25,5.15
Illinois,3.35,3.8,4.25,4.25,4.25[c],4.75[c],5.15[c]
Indiana,2,3.35,3.35,3.35,3.35(e),3.35(e),3.35(e)
Iowa,...,4.25,4.65,4.65,4.65,4.75,5.15
Kansas,1.6,2.65,2.65,2.65,2.65,2.65,2.65
Kentucky,3.35,3.8,4.25,4.25,4.25,4.25,4.25
Louisiana,...,...,...,...,...,...,...
Maine,3.65,3.85,4.25,4.25,4.25,4.75,5.15
Maryland,3.35,3.8,4.25,4.25,4.25,4.75,5.15
Massachusetts,3.65,3.75,4.25,4.25,4.75,5.25,5.25
Michigan,3.35,3.35,3.35,3.35,3.35(e),3.35(e),5.15(e)
Minnesota,3.55 & 3.50(f),4.25(g),4.25(g),4.25(g),4.25(g),4.25(g),5.15(g)
Mississippi,...,...,...,...,...,...,...
Missouri,...,3.8,4.25,4.25,4.25,4.75,5.15
Montana,3.35,3.8,4.25(g),4.25(g),4.25(g),4.75(g),5.15(g)
Nebraska,3.35,3.35,4.25,4.25,4.25[c],4.25[c],5.15[c]
Nevada,3.35,3.8,4.25,4.25,4.25,4.75,5.15
New Hampshire,3.55,3.85,4.25,4.25,4.25,4.75,5.15
New Jersey,3.35,3.8,4.25,5.05,5.05,5.05,5.05
New Mexico,3.35,3.35,3.35,4.25,4.25,4.25,4.25
New York,3.35,3.8,4.25,4.25,4.25,4.25,4.25
North Carolina,3.35,3.35,3.8,4.25,4.25,4.25,5.15
North Dakota,2.80 - 3.10,3.4,4.25,4.25,4.25,4.75,5.15
Ohio,2.3,3.80(g),4.25(g),4.25(g),4.25(g),4.25(g),4.25(g)
Oklahoma,3.35,3.80(g),4.25(g),4.25(g),4.25(g),4.75(g),5.15(g)
Oregon,3.35,4.75,4.75,4.75,4.75,5.5,6
Pennsylvania,3.35,3.8,4.25,4.25,4.25,4.75,5.15
Rhode Island,3.65,4.25,4.45,4.45,4.45,5.15,5.15
South Carolina,...,...,...,...,...,...,...
South Dakota,2.8,3.8,4.25,4.25,4.25,4.25,5.15
Tennessee,...,...,...,...,...,...,...
Texas,3.35,3.35,3.35,3.35,3.35,3.35,3.35
Utah,2.50 - 2.75(b),3.8,4.25,4.25,4.25,4.75,5.15
Vermont,3.55,3.85,4.25,4.25,4.75(e),5.00(e),5.25(e)
Virginia,2.65,2.65,3.65,4.25,4.25[c],4.75[c],5.15[c]
Washington,2.3,4.25,4.25,4.25,4.9,4.9,4.9
West Virginia,3.35,3.35,3.8,4.25,4.25 (d),4.25 (d),4.75 (d)
Wisconsin,3.35,3.8,3.8,4.25,4.25,4.75,5.15
Wyoming,1.6,1.6,1.6,1.6,1.6,1.6,1.6
District of Columbia,3.50 - 4.85,3.70 - 4.85,3.90 - 5.45,4.25,5.25 (h),5.75,6.15
Guam,3.35,3.8,4.25,4.25,4.25,4.75,5.15
Puerto Rico,1.20 - 3.35,1.20 - 4.25(i),1.20 - 4.25(i),1.20 - 4.25(i),1.20 - 4.75(i),1.20 - 4.75(i),1.20 - 5.15(i)
U.S. Virgin Islands,3.35,"4..65(g,,j)","4..65(g,,j)","4..65(g,,j)",4.65(g),"4.65(g, j)","4.65(g, j)"
